beta,load_comb,d,f_cck,chi1,chi2,rho,weight
4.59646105491473,traffic,150,60,0.9,0,0.015,0
3.8554142494866,traffic,150,80,0.1,0,0.005,0
3.8554142494866,traffic,150,80,0.1,0,0.01,0
3.8554142494866,traffic,150,80,0.1,0,0.015,0
4.08343150166501,traffic,150,80,0.2,0,0.005,0.2564
4.08343150166501,traffic,150,80,0.2,0,0.01,0.2564
4.08343150166494,traffic,150,80,0.2,0,0.015,0.2564
4.29931254888453,traffic,150,80,0.3,0,0.005,0.9295
4.2993125488845,traffic,150,80,0.3,0,0.01,0.9295
4.29931254888442,traffic,150,80,0.3,0,0.015,0.9295
4.48775915993027,traffic,150,80,0.4,0,0.005,1
4.48775915993028,traffic,150,80,0.4,0,0.01,1
4.48775915993027,traffic,150,80,0.4,0,0.015,1
4.62856940467045,traffic,150,80,0.5,0,0.005,0.7692
4.62856940467048,traffic,150,80,0.5,0,0.01,0.7692
4.62856940467047,traffic,150,80,0.5,0,0.015,0.7692
4.70313388190633,traffic,150,80,0.6,0,0.005,0.2564
4.70313388190632,traffic,150,80,0.6,0,0.01,0.2564
4.70313388190633,traffic,150,80,0.6,0,0.015,0.2564
4.70972622406782,traffic,150,80,0.7,0,0.005,0.0769
4.70972622406783,traffic,150,80,0.7,0,0.01,0.0769
4.70972622406782,traffic,150,80,0.7,0,0.015,0.0769
4.66761544487908,traffic,150,80,0.8,0,0.005,0
4.66761544487909,traffic,150,80,0.8,0,0.01,0
4.66761544487908,traffic,150,80,0.8,0,0.015,0
4.59862272839636,traffic,150,80,0.9,0,0.005,0
4.59862272839638,traffic,150,80,0.9,0,0.01,0
4.59862272839636,traffic,150,80,0.9,0,0.015,0
3.89360495055094,traffic,300,20,0.1,0,0.005,0
3.89360495055094,traffic,300,20,0.1,0,0.01,0
3.89360495055096,traffic,300,20,0.1,0,0.015,0
4.12187265892647,traffic,300,20,0.2,0,0.005,0.2564
4.12187265892645,traffic,300,20,0.2,0,0.01,0.2564
4.12187265892649,traffic,300,20,0.2,0,0.015,0.2564
4.33785270981137,traffic,300,20,0.3,0,0.005,0.9295
4.33785270981134,traffic,300,20,0.3,0,0.01,0.9295
4.33785270981126,traffic,300,20,0.3,0,0.015,0.9295
4.52613138740558,traffic,300,20,0.4,0,0.005,1
4.52613138740557,traffic,300,20,0.4,0,0.01,1
4.52613138740559,traffic,300,20,0.4,0,0.015,1
4.66625572941343,traffic,300,20,0.5,0,0.005,0.7692
4.66625572941343,traffic,300,20,0.5,0,0.01,0.7692
4.66625572941343,traffic,300,20,0.5,0,0.015,0.7692
4.73948138051846,traffic,300,20,0.6,0,0.005,0.2564
4.73948138051846,traffic,300,20,0.6,0,0.01,0.2564
4.73948138051846,traffic,300,20,0.6,0,0.015,0.2564
4.74419835608672,traffic,300,20,0.7,0,0.005,0.0769
4.74419835608671,traffic,300,20,0.7,0,0.01,0.0769
4.74419835608668,traffic,300,20,0.7,0,0.015,0.0769
4.7002383455278,traffic,300,20,0.8,0,0.005,0
4.70023834552781,traffic,300,20,0.8,0,0.01,0
4.70023834552781,traffic,300,20,0.8,0,0.015,0
4.62964867833052,traffic,300,20,0.9,0,0.005,0
4.62964867833055,traffic,300,20,0.9,0,0.01,0
4.62964867833055,traffic,300,20,0.9,0,0.015,0
3.89360495055093,traffic,300,40,0.1,0,0.005,0
3.89360495055095,traffic,300,40,0.1,0,0.01,0
3.89360495055094,traffic,300,40,0.1,0,0.015,0
4.12187265892645,traffic,300,40,0.2,0,0.005,0.2564
4.12187265892644,traffic,300,40,0.2,0,0.01,0.2564
4.12187265892644,traffic,300,40,0.2,0,0.015,0.2564
4.33785270981137,traffic,300,40,0.3,0,0.005,0.9295
4.33785270981118,traffic,300,40,0.3,0,0.01,0.9295
4.33785270981138,traffic,300,40,0.3,0,0.015,0.9295
4.52613138740559,traffic,300,40,0.4,0,0.005,1
4.52613138740556,traffic,300,40,0.4,0,0.01,1
4.52613138740559,traffic,300,40,0.4,0,0.015,1
4.66625572941342,traffic,300,40,0.5,0,0.005,0.7692
4.66625572941342,traffic,300,40,0.5,0,0.01,0.7692
4.66625572941342,traffic,300,40,0.5,0,0.015,0.7692
4.73948138051847,traffic,300,40,0.6,0,0.005,0.2564
4.73948138051844,traffic,300,40,0.6,0,0.01,0.2564
4.73948138051844,traffic,300,40,0.6,0,0.015,0.2564
